cid,zipcode,x,y
4282118,,-8226995.72,4976378.83
4405827,11217,-8234994.03,4966286.66
3258665,10457,-8226018.11,4989926.10
4353503,10024,-8234090.56,4981138.88
4271413,11212,-8227990.92,4963538.42
43386,10022,-8234331.53,4977342.09
3742961,11211,-8230826.23,4970351.06
4563200,10012,-8237076.82,4971856.11
3800363,,-8223185.26,4972927.43
4386033,,-8219659.77,4972129.92
3699273,11230,-8233040.82,4955824.62
1034099,11249,-8232984.03,4971663.73
4470514,11230,-8233402.65,4956510.54
3230114,10019,-8236993.70,4977961.87
4224936,11204,-8236613.73,4957331.70
3682782,11413,-8210490.38,4965412.03
4379819,10013,-8238159.95,4971327.33
163008,11212,-8228189.79,4962326.56
3646807,11378,-8226845.44,4971380.20
4213256,,-8209894.82,4963259.57
4235089,11368,-8221594.50,4974957.42
3951178,11364,-8210123.03,4975623.06
303840,10312,-8256238.42,4943958.65
4437303,,-8255714.59,4954687.29
4362485,10454,-8229139.74,4983901.63
3152350,11432,-8214869.07,4969373.83
3598507,,-8226240.42,4969331.42
3557322,,-8249137.61,4955941.94
348523,10013,-8238531.08,4971610.80
3888554,,-8228034.33,4983482.49
3851590,,-8225950.43,4993001.26
3806127,11215,-8236971.06,4964069.72
2400401,11420,-8216206.74,4964506.55
37069,10016,-8235002.77,4975278.73
4236151,11208,-8223960.04,4962840.43
3148847,11230,-8233979.45,4957120.21
4544696,11226,-8233774.63,4958850.88
4267567,10463,-8226579.39,4994260.84
1021014,10032,-8230937.26,4988928.68
3670005,,-8234460.81,4977533.24
59780,10037,-8230541.37,4985044.33
212930,11433,-8214404.10,4967687.63
2828795,11417,-8220181.51,4965342.85
4243101,10036,-8237400.31,4977226.36
4075982,10474,-8223983.86,4983736.33
3379733,,-8217552.53,4969441.17
4604662,11236,-8227420.96,4959211.75
3587171,11204,-8235938.02,4954833.77
4360085,11211,-8233048.16,4970629.67
3194192,11101,-8231157.15,4974634.06
3467181,,-8231151.95,4988538.52
3872368,11203,-8229173.13,4961548.50
171967,11231,-8238140.40,4965401.64
32445,10016,-8235260.99,4975660.34
4616718,11419,-8219029.70,4965501.58
4158336,10470,-8222943.69,4997848.81
4267667,11429,-8209269.21,4969319.68
4061231,10472,-8224505.51,4987056.79
97357,10466,-8220295.01,4997145.81
3833391,11234,-8228672.19,4956646.77
3262526,11238,-8233602.50,4964892.76
3182366,10016,-8235923.59,4975306.76
3478470,11228,-8239339.94,4956911.35
3764315,10003,-8236060.47,4973247.98
3615061,11354,-8218801.49,4977122.01
3235508,11417,-8219827.27,4965259.61
3631524,11232,-8238633.06,4961346.31
3250134,10036,-8237770.50,4977303.52
4130050,10011,-8237607.81,4973854.29
3841999,,-8231271.50,4962622.65
4583355,,-8223454.65,4994472.56
3343099,11354,-8218700.34,4976853.43
3579127,11211,-8231872.18,4970272.05
4438090,11221,-8230065.91,4966591.87
10358,10014,-8237861.64,4973342.57
4059459,,-8236383.30,4967633.69
3296588,11105,-8227212.14,4979905.82
3206218,10016,-8234852.20,4974960.08
3428051,,-8220248.65,4972893.79
3930955,,-8252260.79,4954737.58
4559694,11236,-8225448.94,4958825.50
3815215,,-8226718.54,4990917.03
2808684,10011,-8237815.45,4974225.70
3322653,11420,-8215006.46,4963264.25
4001006,,-8223537.03,4988477.46
3044956,,-8228406.93,4973399.18
4101273,11693,-8217312.04,4951413.86
124634,11214,-8236413.73,4952965.96
3131500,10016,-8235641.13,4975396.65
3324908,11237,-8227824.76,4967832.99
9817,10014,-8238214.27,4972527.25
3628716,11203,-8231598.78,4961000.47
350791,10466,-8220890.44,4996972.24
4041235,,-8229836.60,4983051.75
26349,10017,-8235157.29,4975847.86
3773072,,-8258951.10,4953136.20
4147181,,-8226431.33,4976253.47
4129233,,-8226192.00,4955141.27
3227330,10006,-8238941.66,4969614.48
161950,11212,-8227702.77,4961466.16
4116750,,-8230388.74,4987187.14
3309207,10452,-8228801.06,4989692.34
2834385,,-8237431.74,4969479.25
3610415,,-8222132.17,4977438.00
4153803,11433,-8215288.25,4968572.97
3696905,10306,-8250180.23,4948774.85
131222,11218,-8235353.90,4959796.09
4402021,,-8234398.47,4964061.50
3667118,11231,-8239290.96,4964628.93
4084800,10468,-8226128.54,4992974.32
4024745,,-8226554.90,4986212.23
3672168,,-8218133.58,4974357.94
3411286,,-8225174.54,4985336.55
245521,11377,-8226302.31,4974545.73
3691068,,-8232047.96,4985521.89
3387826,10035,-8230649.09,4984003.69
4359375,10027,-8231980.61,4984041.35
3958162,,-8237893.90,4965242.93
3237334,10462,-8222190.28,4990036.30
4412879,11434,-8215455.23,4967290.85
3697426,11212,-8227359.74,4962523.60
4332293,,-8260279.58,4947089.76
49217,10021,-8232334.65,4978300.13
3683398,10031,-8232277.28,4986609.56
3876096,10452,-8229524.90,4988567.21
3463550,10011,-8238353.65,4974749.36
3408725,10021,-8232931.28,4978255.20
998971,11212,-8227684.61,4961957.11
3643097,10459,-8225829.09,4985972.01
3177064,10468,-8226541.96,4992077.39
3501683,,-8235869.00,4951119.23
311403,11414,-8220843.78,4962513.19
4082913,11372,-8225166.08,4975128.31
4034614,11229,-8232654.09,4954650.04
4593957,10459,-8225752.28,4985503.50
4111133,11426,-8207357.85,4971596.12
2988248,,-8233391.36,4968150.52
56491,10029,-8232127.34,4981754.45
4223862,11208,-8223171.90,4966210.47
4416149,11236,-8228457.35,4959282.76
4340758,11212,-8227454.36,4962001.19
4605124,10454,-8227798.34,4983272.20
4569616,,-8228243.06,4967446.49
4218585,,-8222737.08,4964703.79
3657220,11213,-8229886.69,4964886.24
3562213,10037,-8230599.13,4984095.77
3839855,10001,-8235978.09,4975337.40
252718,11355,-8218294.88,4975030.34
3183225,11231,-8238143.65,4966180.49
4496076,11413,-8210379.06,4965401.32
4440432,10468,-8226792.01,4992430.70
3943119,11225,-8232841.11,4963159.48
3838809,,-8234134.64,4976851.60
4014806,11201,-8236480.14,4965836.42
1007933,11213,-8230955.07,4962893.16
47910,10021,-8232438.03,4978113.39
2848830,,-8232558.59,4977399.55
4519608,,-8229340.11,4963828.57
242000,11101,-8229982.87,4973625.85
3844829,11207,-8225285.86,4962213.96
86991,10452,-8227967.15,4989515.05
3643893,,-8229637.33,4955670.64
3912663,10468,-8227196.77,4992122.47
4275141,11211,-8231556.48,4970096.11
3749288,,-8229426.94,4959382.51
3673329,10013,-8237394.08,4970660.81
3400463,10455,-8228377.21,4985195.11
3899639,,-8236723.93,4949624.84
4003002,11206,-8231667.80,4967519.46
3147222,11206,-8230458.94,4968055.74
4181395,11416,-8222109.91,4965150.01
3125290,,-8263432.56,4942644.41
4618189,11426,-8206163.39,4973681.08
4051471,10128,-8232159.28,4980424.94
3492979,,-8228415.05,4967738.96
3605472,10460,-8224073.59,4988604.00
3572134,,-8255180.70,4955936.08
3822677,,-8234076.76,4965802.21
4168255,11236,-8226608.33,4958250.48
4555165,10457,-8226995.72,4988688.31
4165714,11423,-8212024.92,4971008.60
3637041,10002,-8235938.02,4971383.14
4158030,11238,-8234022.21,4965512.59
4376959,10457,-8226540.43,4990873.17
4049715,11219,-8238168.86,4957890.09
4399957,11201,-8235696.45,4967253.71
195966,11211,-8230233.23,4970304.25
3353270,10032,-8231304.25,4988798.89
3544762,10308,-8255648.25,4947352.91
3055673,,-8216311.07,4973859.55
145810,11236,-8226282.12,4959763.53
273289,11106,-8229335.85,4977295.54
338941,11220,-8239461.10,4960265.72
2809735,10022,-8233968.34,4977139.05
3600825,10462,-8222682.76,4990898.93
4212898,11691,-8209874.78,4954452.83
3621851,,-8230483.36,4981622.47
138379,11203,-8230154.36,4958977.67
69826,10033,-8230633.92,4989474.93
4071535,10033,-8230847.38,4989585.48
3430208,,-8255920.98,4956360.34
3647095,10006,-8238869.50,4969493.84
240761,11101,-8232664.24,4975042.27
4589311,,-8232015.68,4988153.46
2823272,11361,-8213315.24,4977920.93
4489485,,-8225507.38,4993209.12
3993324,11434,-8212307.12,4966030.19
3887461,11209,-8240868.80,4957708.21
3721426,10024,-8234381.77,4980450.81
4368501,,-8218685.72,4987647.19
4121287,11101,-8228791.31,4976018.94
143905,11220,-8239591.14,4958615.57
299328,10312,-8255831.39,4946677.55
4602178,11212,-8226672.90,4962857.46
3292657,11363,-8210589.77,4977338.06
3629844,11207,-8225467.31,4962111.54
4349985,11236,-8225961.56,4960036.68
4481185,11377,-8226810.93,4977623.19
4478263,10034,-8228410.59,4992256.71
2817164,10019,-8237233.61,4978092.99
3850333,11222,-8231943.87,4971969.66
3398676,10469,-8219456.24,4993699.40
3728752,,-8226416.30,4976263.76
3034190,,-8215917.27,4973823.35
3773465,10036,-8236298.69,4976975.05
3469561,10034,-8228999.47,4992257.15
4196280,11434,-8213708.63,4963257.51
201964,11692,-8215062.28,4952462.15
96668,10475,-8219069.65,4992938.25
3679704,,-8231027.71,4980685.16
4003188,11206,-8230818.43,4967691.83
2965920,,-8237218.12,4963274.52
3033770,,-8215707.10,4973814.99
195262,11206,-8230819.05,4969221.99
4510974,10128,-8232517.61,4980624.15
3751173,,-8211036.96,4963235.06
3818187,10065,-8232954.65,4977178.30
3440777,,-8235038.56,4960726.24
3562721,11206,-8231435.59,4968131.73
3525507,,-8225285.86,4962213.96
4134473,11693,-8217273.08,4951851.27
64932,10026,-8231934.62,4983376.03
4193717,11375,-8220193.43,4971956.88
4123385,11418,-8218380.71,4967359.42
3870667,10467,-8222748.88,4993140.52
4367623,10466,-8220762.94,4995483.78
4191610,11208,-8223535.47,4964905.17
3829966,10475,-8218217.07,4993087.67
1024710,10006,-8239292.60,4969634.59
26588,10016,-8235565.26,4975107.06
4312975,11228,-8239278.72,4954461.18
60963,10029,-8230715.34,4982445.69
3608022,11233,-8228767.93,4964314.53
3437044,10003,-8236444.52,4972954.90
4379567,,-8225394.95,4990551.45
3828928,11207,-8226374.56,4964614.55
4502674,11214,-8236886.46,4953891.26
154528,11225,-8233502.83,4962395.12
3698279,10467,-8222532.92,4993390.19
3233049,11219,-8238178.95,4958444.23
2821477,11373,-8224791.70,4974932.62
3735432,10034,-8228830.82,4992219.91
4155716,11211,-8231464.09,4970427.73
4589086,10467,-8223033.86,4993403.44
3539351,11221,-8231324.94,4966403.66
3655441,11103,-8228448.44,4976744.90
4304493,11419,-8217062.13,4967738.23
279188,11102,-8228891.56,4978019.26
154046,11225,-8233462.13,4962787.43
4199937,11234,-8229696.33,4958679.54
3375964,11432,-8214473.58,4970217.38
4274003,10469,-8222021.97,4992300.87
1029818,11235,-8232820.37,4950107.79
3825353,,-8227279.59,4978312.08
3845193,11375,-8219684.70,4971706.29
4052479,11367,-8217952.13,4972499.50
508103,10033,-8230426.71,4989483.26
4596251,11207,-8226122.42,4964433.28
3554532,11423,-8212701.19,4969021.57
4180577,10012,-8237816.42,4972414.60
4218773,,-8234027.77,4981835.52
332365,10036,-8236189.39,4976423.25
4356329,11105,-8227508.46,4979487.30
61887,10029,-8230715.34,4982445.69
2824916,10028,-8232856.47,4979584.62
3892056,,-8223014.94,4972981.34
259486,11362,-8208363.39,4975910.94
3739519,11212,-8228923.78,4961661.49
4211946,10022,-8233621.46,4976566.20
3747671,,-8256545.48,4949967.78
3695782,11418,-8218262.71,4967397.30
174002,11213,-8230509.49,4964799.93
3796897,11355,-8219350.97,4974779.04
4030436,11217,-8235006.94,4965624.15
223517,11413,-8209691.50,4962481.86
1023385,11239,-8224194.06,4959628.39
3882050,11224,-8234599.29,4950172.68
3201254,10466,-8219691.22,4994844.23
4215500,,-8233482.31,4964026.71
4395802,10304,-8247118.95,4956975.29
4408827,11207,-8226148.58,4962352.20
237700,11435,-8216784.20,4970180.70
3293590,10010,-8236586.62,4974105.45
157406,11232,-8238207.16,4960874.37
4279364,10453,-8228231.37,4990314.51
337954,11356,-8220594.75,4980193.05
4273927,10128,-8232002.87,4980708.68
3224303,10468,-8226543.99,4993844.25
4469267,10310,-8250084.63,4957822.47
3490541,10306,-8250514.19,4948336.70
93246,10468,-8226381.12,4991611.80
3438910,11418,-8218817.52,4968193.40
3419291,,-8237713.56,4964502.70
4143486,10305,-8245470.31,4953047.94
3996632,11212,-8227884.05,4961460.02
3186955,10035,-8230675.97,4983529.82
3081468,,-8208243.35,4976880.87
196869,11249,-8233991.93,4968817.02
3343324,10459,-8225576.77,4985972.86
3454284,,-8239475.08,4968939.34
274786,11106,-8230807.49,4977729.14
4073817,11249,-8233387.69,4970547.42
4180191,10467,-8224423.80,4995056.78
4571110,,-8229547.61,4989344.58
3237763,10306,-8247873.72,4949365.83
997636,11385,-8222017.13,4969722.13
4200038,10002,-8236660.48,4970738.65
4134711,,-8219447.15,4968442.43
3363988,11434,-8213337.60,4963583.69
3661161,,-8231740.16,4982880.43
73632,10454,-8228202.21,4984413.77
260383,11361,-8213214.88,4977394.64
4593062,,-8217867.52,4964763.53
3933298,10455,-8228426.18,4984960.89
3399877,10451,-8227689.49,4986396.37
4108525,11234,-8229557.85,4956974.41
3623020,11413,-8210662.93,4963266.91
4492727,,-8223457.99,4988893.28
3443488,11417,-8219093.60,4965118.60
4102925,11420,-8217967.71,4963221.41
4449303,10468,-8226631.15,4992119.09
4367707,11422,-8209429.51,4961227.75
3379238,11004,-8205674.77,4973532.72
39400,10022,-8234823.52,4976875.52
4291081,11378,-8226523.73,4972033.85
3877138,11230,-8233471.18,4957349.59
3212051,,-8231978.08,4970691.87
3257091,10031,-8232430.90,4985474.69
34719,10022,-8233724.07,4977003.43
3731931,,-8227866.24,4986990.59
4004407,,-8221862.34,4977109.37
30787,10018,-8236178.65,4975695.21
3494799,10013,-8238080.92,4971253.89
3736493,11413,-8210662.93,4963266.91
4187785,,-8216972.07,4974503.84
3191565,11418,-8220144.15,4966705.10
3916783,10017,-8234104.59,4975994.40
4331290,11210,-8230901.92,4956946.55
4297685,11434,-8212671.13,4964284.88
4071917,10002,-8236694.54,4969639.52
3473966,11385,-8227660.30,4968567.39
3774273,11226,-8233249.65,4961306.10
153834,11213,-8230338.78,4962849.22
3537320,11234,-8230207.29,4956007.94
4600116,10454,-8227422.63,4983277.49
4451111,,-8227807.24,4992113.93
3577853,,-8231452.96,4971165.03
175888,11215,-8236218.50,4964105.07
3363917,11427,-8209694.40,4972150.00
3623504,10027,-8232642.96,4984651.13
3981080,11355,-8217219.20,4976732.56
3130327,10312,-8257502.74,4942780.26
325843,11435,-8216661.66,4968525.82
3362218,11106,-8229277.20,4976792.87
4269598,11233,-8228541.95,4965722.50
4056200,11236,-8227904.09,4958326.76
4202850,,-8229426.94,4959382.51
3950892,10011,-8238053.09,4975294.79
3464971,10022,-8233779.53,4976904.21
3705945,,-8237398.53,4973483.77
3473223,11358,-8214790.21,4976063.32
4583098,11368,-8221156.57,4974681.19
355718,10034,-8228822.71,4991998.52
3671440,10452,-8229212.09,4987398.99
4352998,11422,-8208459.91,4963365.24
298749,10306,-8249613.73,4949513.90
3447288,11203,-8231444.05,4961517.10
4147647,,-8228122.28,4989008.35
3561382,10016,-8236093.86,4974997.09
3595225,11374,-8221729.87,4972966.65
2814462,10065,-8232802.86,4977453.20
7333,10013,-8237637.50,4970837.99
4283810,,-8231085.60,4971462.46
3856008,10001,-8236956.03,4975781.76
62488,10027,-8233309.99,4985641.86
4199879,,-8223249.27,4964988.55
133619,11204,-8236094.27,4957989.17
117320,11229,-8230245.22,4953913.74
177123,11215,-8235217.05,4963342.30
130502,11218,-8234708.18,4959520.07
4502239,11223,-8233379.90,4954264.41
2950522,,-8226434.65,4953911.64
3828886,,-8218454.18,4991728.88
59254,10025,-8233501.75,4982038.85
4364168,,-8230736.06,4991061.26
4045275,,-8233452.25,4967978.14
4549858,10065,-8233788.44,4978324.28
3687131,,-8229547.17,4989505.57
4428114,11436,-8215057.82,4963339.70
139257,11212,-8228467.02,4961485.85
4577165,11104,-8229507.76,4974092.45
3575627,10036,-8235616.75,4976715.22
3960851,11373,-8223423.48,4973293.81
278854,11106,-8229594.33,4976675.76
3091029,,-8218314.52,4970893.64
4109234,10458,-8225381.59,4991077.75
44728,10036,-8236298.20,4976975.08
98093,10466,-8221818.35,4997345.67
4245017,10457,-8225313.02,4990163.81
4576893,10451,-8229212.09,4985099.74
1004157,11355,-8218971.26,4975750.37
27460,10001,-8237118.82,4975487.99
3278193,11004,-8205663.41,4975040.53
4610134,11219,-8238197.80,4958182.13
4599632,10017,-8234591.61,4976024.23
4167268,,-8219132.67,4972559.15
4392393,,-8219702.07,4965235.59
2867833,,-8230334.24,4985977.18
234755,11432,-8212628.91,4970350.27
72652,10454,-8229103.28,4983631.90
3864494,,-8230335.31,4985976.42
4187357,11208,-8223316.61,4964206.95
3449356,,-8218666.80,4995438.57
4096953,10065,-8234229.82,4977527.06
1023699,10016,-8235490.81,4975669.27
3625423,,-8255244.16,4958229.95
3447352,,-8229355.70,4972911.71
4291468,10036,-8235498.31,4976289.77
4286535,11434,-8212644.41,4962967.52
4487497,10312,-8256227.55,4945887.51
333550,11423,-8212637.27,4969906.88
3442765,11355,-8218633.40,4976275.22
3695143,,-8233781.76,4983780.45
146757,11236,-8226565.31,4958698.44
3186141,11217,-8235197.93,4965968.65
4391756,11216,-8232105.29,4964158.81
3097877,,-8215499.25,4963673.50
3830574,10466,-8222210.10,4996816.43
3430449,10306,-8235616.30,4971775.32
3458926,10302,-8251966.91,4958997.14
3129738,10013,-8237441.52,4971285.08
3661656,10312,-8258716.21,4945954.02
3616749,,-8219168.85,4969664.19
3805782,10003,-8236270.86,4972391.68
3708,10004,-8239385.23,4968909.05
3514184,11238,-8233842.98,4965735.13
3233331,11374,-8222420.51,4972400.83
3637,10007,-8238670.72,4970471.10
4487851,,-8235786.62,4967259.58
4191192,11370,-8224789.82,4977213.13
3529168,,-8231485.24,4981646.73
2834314,,-8237431.74,4969479.25
3203108,11201,-8237336.01,4967659.01
46966,10075,-8233066.45,4979204.65
3484398,10473,-8222375.30,4984749.67
3911902,11691,-8210049.56,4954078.20
3975666,11355,-8218606.13,4975139.62
3972375,10451,-8228985.00,4986962.49
3529512,10021,-8232586.19,4978439.37
4447853,,-8219034.15,4991130.29
186461,11237,-8227067.46,4967622.22
4280711,,-8227441.00,4992905.87
4546110,11215,-8235200.53,4963951.12
51438,10022,-8234049.80,4977425.09
90350,10465,-8218330.26,4987446.26
233992,11367,-8217901.69,4973976.57
3772611,10306,-8249186.15,4950075.36
4446274,,-8229956.82,4988091.08
257036,11368,-8222386.17,4975366.32
4324969,10035,-8230641.44,4983019.11
3896326,,-8221629.57,4986823.76
3611163,11220,-8238593.54,4958362.84
206230,11418,-8218027.61,4967465.92
4298985,,-8235099.78,4967648.22
4506810,,-8236437.17,4966520.23
3663676,11433,-8213178.75,4967159.75
3575817,10036,-8235763.25,4976794.87
166441,11207,-8225877.33,4965485.59
3226171,11220,-8239196.56,4959114.92
3812068,10467,-8222668.73,4994330.48
3678134,,-8237624.51,4954478.05
4425602,,-8217318.72,4968851.82
3226784,11420,-8221314.50,4962342.75
4557401,,-8226916.69,4990592.51
3255682,,-8228802.96,4970220.03
4195241,11377,-8226947.86,4976066.84
4312451,11226,-8232496.02,4961072.07
4184453,11208,-8222373.74,4963708.08
4266979,,-8232560.14,4977399.20
3625646,11428,-8208402.03,4971546.62
331874,10019,-8235819.96,4977309.40
3973552,10011,-8238211.16,4975007.38
3381269,10455,-8228347.01,4985663.01
4071860,10022,-8234414.05,4976766.80
4115936,11367,-8218149.16,4972540.20
4092687,10454,-8227813.92,4983281.90
3284106,11238,-8232665.66,4965138.89
4303029,11411,-8208907.98,4967558.07
4556542,,-8215721.84,4962861.13
12723,10002,-8235561.67,4971233.25
3189129,10029,-8232050.32,4981470.28
3438765,,-8236486.82,4966428.91
4299448,10001,-8236752.88,4975404.11
3161828,10010,-8235612.05,4974174.67
3873997,11378,-8228257.53,4970894.04
3221593,10016,-8235280.80,4975196.12
55927,10029,-8231545.31,4980946.57
4320296,11211,-8233044.16,4968478.85
3247377,11358,-8214279.75,4975889.46
3662642,11232,-8237418.12,4963843.10
4070554,10013,-8237637.87,4970837.93
4584669,11212,-8228708.93,4962433.35
4125527,11355,-8218985.17,4975876.69
4358618,,-8237221.53,4969527.47
2958203,,-8241807.55,4958960.58
142706,11209,-8240198.15,4957728.48
4558237,11377,-8227514.47,4976164.71
4176166,11106,-8229159.77,4977185.65
4431821,10457,-8226211.59,4991199.90
3680150,,-8216394.77,4963007.15
3996475,10305,-8245045.62,4955655.54
3565213,11422,-8207518.15,4964397.31
3499060,,-8262515.55,4942725.97
4437194,10459,-8225947.09,4985707.67
3885150,11370,-8225496.25,4976966.23
3171876,10022,-8234694.99,4976683.88
4343060,,-8235123.16,4966270.95
4240487,11226,-8233156.14,4961563.18
3631008,,-8232576.17,4979671.79
47631,10075,-8233121.97,4979104.60
279092,11101,-8230532.42,4975789.52
262538,11361,-8212405.13,4978184.88
4216197,10472,-8221308.41,4986992.21
3308338,11378,-8227857.29,4972246.55
4607067,10040,-8229384.64,4992190.92
179895,11216,-8232870.09,4966498.07
137436,11226,-8232090.43,4960390.36
2988272,,-8233172.01,4968770.15
1014442,10462,-8222593.34,4990895.69
172022,11231,-8237393.91,4964483.87
4131443,10024,-8235415.48,4980510.79
3519878,,-8261354.48,4946876.14
4487813,11235,-8232818.85,4950082.54
4414821,,-8253031.68,4958816.70
3448443,10023,-8236479.03,4978896.81
3787097,,-8259734.34,4947843.62
4178387,10009,-8235649.70,4972771.27
3740968,11354,-8216370.28,4977592.32
3800892,10470,-8223964.49,4996935.13
4036547,10460,-8224360.12,4988402.42
4029177,10306,-8250297.12,4950633.92
3740004,,-8223471.35,4986789.63
3480393,11204,-8235272.77,4955419.88
4584952,11221,-8229280.00,4966883.73
3755616,11233,-8227537.85,4964704.23
3267212,11222,-8232185.19,4971731.05
221155,11426,-8206670.64,4973250.45
4425619,,-8230278.53,4973699.74
4496646,,-8232005.10,4967622.23
4344273,10451,-8228052.14,4986444.21
26666,10036,-8236154.86,4976276.02
280239,11372,-8225592.23,4975384.14
178621,11215,-8235939.12,4964547.37
3795508,,-8256002.24,4956857.08
4455348,,-8232159.28,4966166.28
4146433,11374,-8222568.10,4972734.54
4384350,11210,-8232163.17,4955952.21
3329619,11211,-8232601.62,4969498.79
3824253,11419,-8216720.93,4966739.86
4464123,,-8210692.98,4977497.38
2821351,11367,-8217769.10,4972007.38
3694267,,-8231172.43,4982210.33
3838523,,-8215093.44,4980045.64
2819078,11694,-8219620.04,4950516.29
3292492,11419,-8217924.49,4966847.13
134690,11219,-8238019.73,4958584.75
3408225,,-8235667.51,4976621.60
196766,11211,-8233106.33,4969499.44
4007164,,-8223537.03,4988477.46
3615753,10462,-8222596.93,4990836.38
4021508,10036,-8235692.00,4976147.37
3718971,11226,-8233101.15,4960284.62
4357908,11377,-8226297.75,4976158.54
4254695,,-8216324.64,4969085.45
246084,11354,-8217066.58,4977779.94
1022144,10032,-8231151.15,4988538.70
4183168,11236,-8227416.51,4958385.87
4318848,11412,-8210578.32,4967189.11
3955938,11226,-8232527.19,4959221.29
3351486,11235,-8230670.87,4952345.87
3455356,,-8218236.66,4989455.98
4313364,11356,-8219847.90,4980739.56
3778438,11226,-8233402.16,4961567.58
201601,11692,-8214226.03,4952354.75
4029569,,-8217965.49,4994916.90
38817,10019,-8235662.76,4977701.89
167218,11207,-8225466.52,4962111.65
3187846,11354,-8219511.07,4978885.80
3065098,,-8221226.81,4976251.53
3315975,11420,-8216349.67,4964111.25
4111284,11370,-8225234.09,4977383.62
3742947,,-8233846.77,4969739.24
361330,10016,-8236177.97,4974845.82
3499652,11379,-8224118.11,4971528.11
3975276,11358,-8214254.09,4978312.52
3600632,10455,-8227562.78,4984276.96
4118938,,-8256456.43,4957694.56
4247961,,-8231918.27,4975517.85
3582002,,-8234729.09,4963526.68
4239212,10467,-8222654.26,4994920.29
4188204,10469,-8221313.98,4993654.29
61284,10037,-8230597.95,4984095.28
4507699,,-8237516.53,4970393.65
4284258,10033,-8230722.70,4989955.28
3747860,,-8218572.18,4970623.35
4607343,10001,-8236537.36,4975045.58
2811241,10458,-8225919.51,4991629.03
4550112,,-8257889.66,4954913.25
350514,11355,-8218400.25,4976198.98
4443707,,-8219641.96,4950846.31
4250502,10462,-8221463.14,4987871.26
4039452,10019,-8235420.38,4977817.20
4156640,10467,-8222823.47,4991398.16
241220,11377,-8226814.91,4973824.45
192992,11238,-8233597.36,4965667.54
188507,11201,-8237216.40,4967392.62
3584494,11234,-8230686.52,4956759.26
3745241,10029,-8230124.91,4982117.25
3535093,,-8233672.67,4977094.09
208928,11435,-8215900.46,4967068.07
3507718,11419,-8217363.25,4967262.52
44824,10036,-8237298.74,4977410.02
3192211,,-8216888.35,4963259.01
3746700,,-8259607.88,4947439.50
205502,11416,-8220295.51,4966237.95
3498661,10463,-8228492.97,4994250.68
4554455,10019,-8235828.92,4977823.66
3906657,,-8209894.82,4963259.57
4329478,,-8217653.23,4981346.48
1014022,11233,-8228405.38,4963888.88
3786325,10018,-8237559.94,4976934.48
172980,11213,-8231160.74,4964354.40
3756602,11206,-8231488.58,4967479.08
4592318,11218,-8234475.28,4960667.41
339120,11101,-8231612.25,4976684.07
3266436,11212,-8229154.19,4962962.65
140648,11226,-8232050.62,4961240.88
3165613,11201,-8235323.27,4967235.99
3812206,,-8226971.23,4989446.71
3654998,,-8229677.41,4963445.96
3318818,11223,-8233341.38,4953606.13
308706,10301,-8248538.06,4959438.30
3814199,11366,-8216119.81,4971944.24
4225455,11236,-8225024.25,4958766.39
3329294,10036,-8237033.13,4977142.15
343426,11213,-8229360.73,4963568.68
158775,11215,-8236245.56,4962881.27
4241385,10022,-8233974.34,4977141.85
4445799,11421,-8221554.87,4967081.93
3413098,10470,-8223027.18,4997327.75
1790,10013,-8238159.60,4971850.29
3859426,10451,-8229651.81,4985317.72
3755010,,-8240161.48,4960422.24
4490824,,-8219546.22,4980837.77
4130468,,-8232889.64,4979104.81
4072445,,-8233003.64,4977684.03
18438,10036,-8237138.43,4976950.94
162432,11212,-8227362.51,4964190.79
4203249,11212,-8226886.63,4963402.95
43202,10019,-8235049.12,4977740.06
3338888,11209,-8240622.50,4956576.59
54143,10024,-8235017.15,4980041.40
3829413,10310,-8252182.31,4957382.15
3396524,10452,-8229586.27,4988433.33
4528772,10455,-8227953.52,4984984.42
3766646,11368,-8222972.64,4975868.46
3386959,,-8225691.95,4971929.56
3024064,,-8220970.97,4962639.93
3004147,,-8227478.55,4972372.81
3350236,10031,-8232300.23,4986866.36
3234199,10454,-8228356.95,4984082.50
3520106,,-8227180.51,4964852.63
2824854,10036,-8236767.55,4976874.29
4614620,,-8219177.75,4978628.25
4168984,,-8223240.92,4963067.61
266075,11375,-8219267.59,4970713.39
4203090,10025,-8233781.76,4983780.45
4205986,11237,-8229562.08,4969445.97
3282057,10002,-8236631.08,4971449.52
4435424,11232,-8239202.46,4961130.91
4087494,,-8228485.18,4969211.59
3142930,11234,-8230448.88,4956630.74
4597257,11385,-8226042.83,4967419.62
3033463,,-8212389.15,4971827.15
3147845,11105,-8228118.27,4979765.53
4622582,11217,-8235440.42,4965304.44
3804065,10016,-8235157.67,4974398.49
3717108,,-8236471.24,4970819.13
3506254,11207,-8226516.49,4964799.20
4299434,11211,-8233186.20,4969216.59
4434600,,-8219254.12,4968504.10
3880071,11385,-8223527.01,4969350.96
3513001,11370,-8224789.82,4977213.13
4411229,11221,-8229544.94,4967625.17
4025876,10019,-8213578.38,4969356.39
325459,10304,-8247350.45,4955470.89
3643152,10458,-8224947.00,4991544.31
3913293,,-8218230.43,4976797.22
73756,10451,-8229658.14,4985652.86
3943694,11374,-8221729.87,4972966.65
336298,11414,-8219863.68,4962444.99
232987,11417,-8220347.74,4965299.22
3942120,,-8218517.63,4991999.42
